prov_name,指标,城镇单位就业人员(万人),农林牧渔业城镇单位就业人员(万人),采矿业城镇单位就业人员(万人),制造业城镇单位就业人员(万人),电力、燃气及水的生产和供应业城镇单位就业人员(万人),建筑业城镇单位就业人员(万人),交通运输、仓储及邮电通信业城镇单位就业人员(万人),信息传输、计算机服务和软件业城镇单位就业人员(万人),批发和零售业城镇单位就业人员(万人),住宿和餐饮业城镇单位就业人员(万人),金融业城镇单位就业人员(万人),房地产业城镇单位就业人员(万人),租赁和商务服务业城镇单位就业人员(万人),科学研究、技术服务和地质勘查业城镇单位就业人员(万人),水利、环境和公共设施管理业城镇单位就业人员(万人),居民服务和其他服务业城镇单位就业人员(万人),教育业城镇单位就业人员(万人),卫生、社会保障和社会福利业城镇单位就业人员(万人),文化、体育和娱乐业城镇单位就业人员(万人),公共管理和社会组织城镇单位就业人员(万人)
福建省,2010,507.1,6.7,4.8,241.2,9.2,62.4,16.7,4.6,13.9,7.6,12.9,9,12.3,5.4,4.4,1.4,44.7,15.7,3.7,30.4
福建省,2009,473.96,6.84,5.1,226.41,9.6,51.96,16.19,4.09,13.12,6.11,12.16,8.77,10.43,4.79,4.44,1.51,43.73,15.23,3.66,29.8
福建省,2008,458.69,6.67,4.82,223.77,9.46,45.01,15.92,3.86,12.34,5.63,10.96,7.24,11,4.54,4.19,1.49,44.3,14.21,3.76,29.55
江西省,2016,471.47,4.46,5.78,141.75,9.31,90.4,20.3,5.6,17.32,4.26,13.01,6.71,5.35,6.15,7.13,0.99,51.96,24.77,4.22,52.01
江西省,2015,480.49,4.9,7.21,138.24,14.12,91.92,21.17,6.7,18.11,4.42,12.58,6.36,5.2,5.71,7.69,0.98,55.8,24.51,3.78,51.11
江西省,2014,465.26,5.16,7.77,133.51,14.3,94.41,20.78,7.15,17.6,4.08,12.18,5.73,4.71,5.54,7.1,0.82,50.93,21.51,3.03,48.95
江西省,2013,445.01,5.58,8.33,125.85,13.19,91.33,21.24,6.35,15.6,4.69,11.27,5.43,5.54,5.67,7.38,0.57,45.76,19.66,3.31,48.26
江西省,2012,385.79,11.64,10.12,102.02,10.52,66.63,12.88,4.34,16.69,4.25,10.63,4.45,2.94,5.43,5.9,0.59,44.21,21.11,3.87,47.55
江西省,2011,344.4,10.85,8.97,87.78,10.26,49.53,13.96,3.22,13.06,3.32,10.89,3.6,3.45,5.52,5.38,0.5,47.79,17.37,2.86,46.1
江西省,2010,297.4,12.1,9,71.6,9.5,29.4,15.3,3.3,7.9,1.6,10.5,2.1,2.9,5.1,5.6,0.5,47.6,16.8,3.2,43.5
江西省,2009,289.63,12.69,8.48,68.01,9.58,27.43,15.62,3.61,8.33,1.8,9.98,2.03,2.72,4.96,5.11,0.48,46.7,16.03,3.17,42.87
江西省,2008,289.23,13.74,10.09,70.19,8.73,25.25,16.33,2.93,8.86,1.9,8.9,2.08,4.47,4.93,5.11,0.49,45.13,15.16,3.27,41.67
山东省,2016,1215.46,1.56,57.38,403.21,23.09,160.33,49.39,18.25,57.09,14.21,45.45,26.75,20.7,17.8,17.6,3.23,117.18,62.46,7,112.78
山东省,2015,1236.72,1.68,64.51,417.54,23.47,163.68,48.39,17.44,59.89,14.04,41.56,26.08,21.49,17.98,18.25,3.11,117.18,60.69,6.97,112.76
山东省,2014,1266.34,1.65,71.15,425.75,23.72,177.51,49.75,16.97,62.82,15.58,38.83,25.58,21.55,18.42,16.75,3.14,120.35,58.69,7.14,111
山东省,2013,1290.6,1.8,74.6,437.16,23.85,188.65,50.64,17.54,67.26,19.26,34.76,23.69,20.82,16.88,14.93,3.28,120.05,56.15,7.2,112.08
